S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
328,Tata Elxsi,61535400000.0,3455400000.0
329,Syndicate Bank,60863700000.0,53755700000.0
330,D B Corp,60599700000.0,5985800000.0
331,Jain Irrigation,60198900000.0,18896300000.0
332,Persistent Sys,59964000000.0,7918900000.0
333,Redington India,58965400000.0,117284000000.0
334,Sunteck Realty,58650400000.0,2015000000.0
335,Raymond,58631000000.0,14842400000.0
336,MOIL,58402900000.0,2998000000.0
337,Bombay Dyeing,58232500000.0,6199299999.999999
338,GE Shipping Co,58026600000.0,5844200000.0
339,Grindwell Norton,57065100000.0,3654200000.0
340,EID Parry,56523300000.0,35579400000.0
341,I O B,55910200000.00001,42546800000.0
342,Galaxy Surfact.,55671100000.0,8269500000.0
343,Laurus Labs,55029399999.99999,4737700000.0
344,Guj Alkalies,54984500000.0,6176100000.0
345,GE Power,54974000000.0,
346,Timken India,54957600000.0,2785800000.0
347,C P C L,54278200000.0,85871700000.0
348,Dishman Carbogen,54163900000.0,4598200000.0
349,St Bk of Bikaner,54029500000.0,22622800000.000004
351,MMTC,53000000000.0,
352,IFB Inds.,52935300000.0,5317400000.0
353,eClerx Services,52591400000.0,3398900000.0
354,Sobha,52241100000.0,6919000000.0
355,Kirloskar Oil,52077700000.00001,6846100000.0
356,G S F C,52001300000.0,15374500000.0
357,CG Power & Indu.,51518500000.0,15160800000.0
358,Westlife Develop,51458800000.0,3051900000.0
359,K P R Mill Ltd,51453600000.0,7145100000.0
360,Tube Investments,51394300000.0,12742100000.0
361,Bajaj Electrical,51273800000.0,11451300000.000002
362,VST Inds.,51092500000.0,2389700000.0
363,BEML Ltd,50898700000.0,7315100000.0
364,FDC,50841899999.99999,2487700000.0
365,DCB Bank,50805000000.0,6107800000.0
366,Star Cement,50726700000.0,3774300000.0
367,Netwrk.18 Media,50672299999.99999,3660200000.0
368,Gulf Oil Lubric.,50204399999.99999,3559500000.0
369,UCO Bank,50125900000.0,34495500000.0
370,Jagran Prakashan,49950500000.0,5980700000.000001
371,Elgi Equipment,49540800000.0,4154200000.0
372,JK Lakshmi Cem.,49315500000.0,8374100000.0
373,Zydus Wellness,49214500000.0,1324000000.0
374,Equitas Holdings,48860900000.0,4298600000.0
375,India Cements,48857500000.0,12130800000.0
376,Dishman Pharma.,48612000000.0,5342200000.0
377,South Ind.Bank,48567100000.0,15769600000.0
378,Polaris Consulta,48304399999.99999,6800700000.000001
379,V I P Inds.,48196300000.0,3379900000.0
380,APL Apollo,47750300000.0,13143800000.000002
381,Sadbhav Infra.,47356700000.0,
382,Jindal Stain.,47269100000.0,29888600000.0
383,Swan Energy,47214900000.0,
384,NIIT Tech.,46582000000.0,
385,Caplin Point Lab,46007299999.99999,
386,Indian Energy Ex,45957000000.0,
387,Shoppers St.,45580600000.00001,
388,Godfrey Phillips,45122900000.0,
389,Jindal Stain .Hi,44980900000.0,24385800000.0
390,R C F,44935200000.00001,19850600000.0
391,Rallis India,44932000000.0,
392,Stand.Chart.PLC,44873100000.00001,
393,G M D C,44567700000.00001,
394,Manpasand Bever.,44068000000.0,
395,Tata Inv.Corpn.,44016600000.0,
396,Essel Propack,43712400000.0,
397,Allcargo Logist.,43696899999.99999,14799100000.0
398,Radico Khaitan,43584799999.99999,
399,Cera Sanitary.,43569000000.0,
401,Forbes & Co,43318200000.0,
402,S B T,43284700000.0,23659400000.0
403,KNR Construct.,43253900000.0,
404,PNC Infratech,43072900000.0,
405,Greenply Inds.,42950200000.00001,
406,Ujjivan Fin.Ser.,42934200000.0,
407,Monsanto India,42914300000.0,
408,Vinati Organics,42790700000.0,
409,Jindal Saw,42783100000.00001,
410,Lux Industries,42697800000.0,
411,Linde India,41983300000.0,
412,Ratnamani Metals,41943100000.00001,
413,Cox & Kings,41792900000.0,13560700000.0
414,Omaxe,41682900000.0,
415,Ashoka Buildcon,41668700000.0,
416,Time Technoplast,41565800000.0,
417,Phillips Carbon,41496700000.0,
418,Allahabad Bank,41371100000.0,42438300000.0
419,Welspun Corp,41030500000.0,23041600000.0
420,NESCO,40930200000.0,
421,CARE Ratings,40906900000.0,
422,JP Associates,40743700000.0,
423,Andhra Bank,40672500000.0,45492600000.0
424,Zensar Tech.,40664200000.0,7937600000.0
425,S H Kelkar & Co.,40573400000.0,2831200000.0
426,Mahindra Holiday,40303500000.0,2675400000.0
427,Sintex Plastics,40220200000.0,13327300000.0
428,SREI Infra. Fin.,40096300000.0,14051900000.0
429,Techno Elec.,39754400000.0,2756400000.0
430,Minda Corp,39748300000.0,
431,HMT,39735000000.0,
432,KPIT Tech.,39272600000.0,9127700000.0
433,Triveni Turbine,39101700000.0,1655900000.0
434,Shankara Build.,39010700000.0,6246200000.0
435,Multi Comm. Exc.,38471900000.0,
436,Brigade Enterpr.,38461500000.0,4239100000.0000005
437,Gayatri Projects,38357300000.0,
438,Magma Fincorp,38268300000.0,5805800000.0
439,VRL Logistics,38246900000.0,4893400000.0
440,ICRA,38090000000.0,
441,Shriram Pistons,38045800000.0,
442,IFCI,37894500000.0,
443,Suprajit Engg.,37772600000.0,3662900000.0
444,J & K Bank,37755000000.0,16829700000.0
445,Navin Fluo.Intl.,37692600000.0,2214500000.0
446,Karnataka Bank,37657400000.0,13322400000.0
447,Shilpa Medicare,37641000000.0,1855300000.0
448,Kushal,37618600000.0,5781799999.999999
449,Venky's (India),37606100000.0,6958500000.0
451,CCL Products,37487300000.0,2739900000.0
452,Excel Crop Care,37340600000.0,2586500000.0
453,Trident,37226000000.0,11371700000.0
454,Corporation Bank,37164600000.0,43878500000.0
455,Rane Holdings,37118000000.0,5937400000.0
456,Team Lease Serv.,36773400000.0,9180600000.0
457,Oriental Bank,36746000000.0,42620800000.0
458,I T D C,36190400000.0,1021400000.0
459,JP Power Ven.,35976000000.0,
460,S C I,35820000000.0,8795600000.0
461,JK Tyre & Indust,35779800000.0,21232399999.999996
462,Deepak Nitrite,35319000000.0,3711400000.0
463,Heidelberg Cem.,35317700000.0,4912300000.0
464,Amber Enterp.,35298700000.0,
465,Sharda Cropchem,35280700000.0,3254600000.0
466,Dixon Technolog.,35268000000.0,6778000000.0
467,Himatsing. Seide,35110800000.0,5956100000.0
468,La Opala RG,35109300000.0,697700000.0
469,H F C L,34827100000.0,7144200000.0
470,Reliance Home,34706000000.0,4030000000.0
